termino_es,term_en,definicion_es,definition_en
albedo,albedo,Fracción de radiación de onda corta reflejada por una superficie.,Fraction of incoming shortwave radiation reflected by a surface.
carbono negro equivalente,equivalent black carbon (eBC),Concentración inferida ópticamente mediante absorción.,Optically inferred concentration from light absorption.
carbono negro refractario,refractory black carbon (rBC),Masa de partículas refractarias medida por incandescencia SP2.,Mass of refractory particles measured by SP2 incandescence.
cambio de elevación,elevation change,Cambio euleriano de la cota superficial entre fechas.,Eulerian change in surface elevation between dates.
co-registro,co-registration,Alineación horizontal y vertical entre datasets de elevación.,Horizontal and vertical alignment between elevation datasets.
criósfera,cryosphere,Componentes del sistema terrestre donde el agua está congelada.,Earth-system components where water is frozen.
desplazamiento LOS,line-of-sight displacement,Movimiento proyectado sobre la línea de visión del radar.,Motion projected onto the radar line of sight.
equivalente de agua,water equivalent,Espesor de agua equivalente a una masa de nieve o hielo.,Water thickness equivalent to a snow or ice mass.
estación meteorológica automática,automatic weather station (AWS),Sistema autónomo de sensores meteorológicos.,Autonomous meteorological sensor system.
hipsometría,hypsometry,Distribución del área glaciar por bandas de elevación.,Distribution of glacier area by elevation band.
InSAR,InSAR,Interferometría radar de apertura sintética.,Interferometric synthetic aperture radar.
NMAD,NMAD,"Desviación absoluta mediana normalizada, estadístico robusto de dispersión.","Normalized median absolute deviation, a robust spread statistic."
radiación neta,net radiation,Balance entre radiación entrante y saliente de onda corta y larga.,Balance of incoming and outgoing shortwave and longwave radiation.
terreno estable,stable terrain,Superficie no glaciar usada para estimar sesgo y dispersión.,Non-glacier surface used to estimate bias and dispersion.
año hidrológico,hydrological year,Periodo anual definido para capturar el ciclo de acumulación y ablación.,Annual period defined to capture accumulation and ablation cycles.
